iter	Logloss
0	0.6403117186
1	0.5986801411
2	0.5669608802
3	0.5432270767
4	0.5262839906
5	0.5102337233
6	0.4965806312
7	0.4834108723
8	0.4729996198
9	0.4641592111
10	0.4571160286
11	0.4516968122
12	0.4467986591
13	0.4427569706
14	0.4390840347
15	0.4351124155
16	0.4310541001
17	0.4280632004
18	0.42575859
19	0.4233587386
20	0.4211322986
21	0.4188034773
22	0.4169061298
23	0.4153569335
24	0.4140604243
25	0.4126450965
26	0.4111699862
27	0.4099668665
28	0.4090431636
29	0.4082556923
30	0.407384956
31	0.4068163433
32	0.4059687
33	0.405141896
34	0.4046837573
35	0.4041483157
36	0.4036651666
37	0.4034745685
38	0.4026795657
39	0.4021692941
40	0.4021633267
41	0.4017271065
42	0.4012465836
43	0.4001079694
44	0.3997473247
45	0.3995021824
46	0.3993212538
47	0.3988070569
48	0.3985081764
49	0.3984186053
50	0.398334183
51	0.3979608147
52	0.3973802487
53	0.3973596166
54	0.3973586284
55	0.3973578269
56	0.39699804
57	0.3969973282
58	0.3963810965
59	0.3961072547
60	0.3960976609
61	0.3960742004
62	0.3954189036
63	0.3947605859
64	0.3940269623
65	0.3938176344
66	0.3937887587
67	0.3934531892
68	0.3934412417
69	0.3934132729
