iter	Passed	Remaining
0	65	4521
1	134	4567
2	200	4486
3	280	4633
4	358	4660
5	403	4299
6	480	4324
7	561	4355
8	601	4076
9	663	3981
10	744	3991
11	841	4068
12	922	4046
13	998	3993
14	1075	3944
15	1149	3878
16	1231	3837
17	1319	3812
18	1391	3733
19	1467	3668
20	1545	3606
21	1634	3566
22	1714	3502
23	1788	3427
24	1900	3420
25	1994	3376
26	2068	3294
27	2120	3180
28	2195	3103
29	2272	3029
30	2345	2951
31	2397	2846
32	2473	2772
33	2549	2699
34	2621	2621
35	2693	2543
36	2765	2466
37	2828	2382
38	2905	2309
39	2983	2237
40	3016	2133
41	3091	2061
42	3162	1985
43	3232	1909
44	3306	1836
45	3377	1762
46	3454	1690
47	3525	1615
48	3600	1543
49	3670	1468
50	3742	1394
51	3814	1320
52	3908	1253
53	3953	1171
54	3974	1083
55	4006	1001
56	4078	930
57	4104	849
58	4179	779
59	4270	711
60	4331	639
61	4411	569
62	4482	498
63	4554	427
64	4627	355
65	4697	284
66	4769	213
67	4847	142
68	4926	71
69	5005	0
